['LJGZGWLYDULDPC-UHFFFAOYSA-N', 'active', 1.0]
['DIXHYNJQKGJNAM-UHFFFAOYSA-N', 'active', 1.0]
['KZPCTRKUGBJCKG-UHFFFAOYSA-N', 'active', 1.0]
['NUBIPYVGWLJDCH-UHFFFAOYSA-N', 'active', 1.0]
['MRUKIVHEVZHTLB-UHFFFAOYSA-N', 'active', 1.0]
['BGXCUQOFJBQLLA-UHFFFAOYSA-N', 'active', 1.0]
['TVGPTCKDDGJEOH-UHFFFAOYSA-N', 'active', 1.0]
['OMORDLFEUHSSPG-UHFFFAOYSA-N', 'active', 1.0]
['KZZOBIGMTYUFRZ-UHFFFAOYSA-N', 'active', 1.0]
['ZGUDTNSTULMZFZ-UHFFFAOYSA-N', 'active', 1.0]
['XDWVFWXADADRKU-UHFFFAOYSA-N', 'active', 1.0]
['XFUKMLZKOLSGQT-UHFFFAOYSA-N', 'active', 1.0]
['FHQAVJXYKDDCKX-UHFFFAOYSA-N', 'active', 1.0]
['QRSNUUARWQRQPK-UHFFFAOYSA-N', 'active', 1.0]
['RHWWBMFZZLTBDQ-UHFFFAOYSA-N', 'active', 1.0]
['ROMMIAHTXMXPFK-UHFFFAOYSA-N', 'active', 1.0]
['DCNBZRPSMNXSQM-UHFFFAOYSA-N', 'active', 1.0]
['NYBKVKFUUKBKLS-UHFFFAOYSA-N', 'active', 1.0]
['OIJHLVALLGNCPK-UHFFFAOYSA-N', 'active', 1.0]
['XVONFXDTMIZBFN-UHFFFAOYSA-N', 'active', 1.0]
['WLIYCJHTPWZSIN-UHFFFAOYSA-N', 'active', 1.0]
['BUFGNSFTXVMBFY-UHFFFAOYSA-N', 'active', 1.0]
['XEHPDNVBMIGCCC-UHFFFAOYSA-N', 'active', 1.0]
['NIYDGDRWRLMUSU-UHFFFAOYSA-N', 'active', 1.0]
['ZXBGWQNZORWGBY-UHFFFAOYSA-N', 'active', 1.0]
['UQMZFRPWYMCTQP-UHFFFAOYSA-N', 'active', 1.0]
['LYWQMRPOKHKRRQ-UHFFFAOYSA-N', 'active', 1.0]
['SQIMAJMJNKZQHU-UHFFFAOYSA-N', 'active', 1.0]
['XWELOPIJORUUGI-UHFFFAOYSA-N', 'active', 1.0]
['NNOYAHPDGKEKLK-UHFFFAOYSA-N', 'active', 1.0]
['PJMWIKRWQLXBQC-UHFFFAOYSA-N', 'active', 1.0]
['CITOGGGGQNHTNC-UHFFFAOYSA-N', 'active', 1.0]
['QGQWXVRHHJGWOY-UHFFFAOYSA-N', 'active', 1.0]
['OBPBGYYJOPHMFI-UHFFFAOYSA-N', 'active', 1.0]
['ADLKVRVDPBCVIA-UHFFFAOYSA-N', 'active', 1.0]
['FCXOTSMNOWNBQC-UHFFFAOYSA-N', 'active', 1.0]
['BJLYMSJMKYOBJG-UHFFFAOYSA-N', 'active', 1.0]
['QWUSDPUWLQSZNV-UHFFFAOYSA-N', 'active', 1.0]
['DVPDSHWFWCSILJ-UHFFFAOYSA-N', 'active', 1.0]
['ODQZZROPKMDPDA-UHFFFAOYSA-N', 'active', 1.0]
['KSLLGOCHNBQQKR-UHFFFAOYSA-N', 'active', 1.0]
['ZIUOQDPNBFDEET-UHFFFAOYSA-N', 'active', 1.0]
['LHAKYGCRSJSYSW-UHFFFAOYSA-N', 'active', 1.0]
['IAKPZRMPTBCUCQ-UHFFFAOYSA-N', 'active', 1.0]
['LYTUPSCWZZSTLA-UHFFFAOYSA-N', 'active', 1.0]
['WAVHDZCJPFXPDY-UHFFFAOYSA-N', 'active', 1.0]
['VDOTXZVUQOENPZ-UHFFFAOYSA-N', 'active', 1.0]
['YNZSNBNPCKTORJ-UHFFFAOYSA-N', 'active', 1.0]
['SDSSXPFTTXHSCY-UHFFFAOYSA-N', 'active', 1.0]
['PONNNKGFVLMJBH-UHFFFAOYSA-N', 'active', 1.0]
['WAEKSRVOKPUDLS-UHFFFAOYSA-N', 'active', 1.0]
['XJKKRSRKVFOVNE-UHFFFAOYSA-N', 'active', 1.0]
['HEFIJVJMHQVVFY-UHFFFAOYSA-N', 'active', 1.0]
['TUKVCLHNYFGIQB-UHFFFAOYSA-N', 'active', 1.0]
['CHTKGXUYUUAKRS-UHFFFAOYSA-N', 'active', 1.0]
['YGMBNFOZZKXCBD-UHFFFAOYSA-N', 'active', 1.0]
['PALFFZKNSCVLEC-UHFFFAOYSA-N', 'active', 1.0]
['KTCQHXWJLQRRLA-UHFFFAOYSA-N', 'active', 1.0]
['INGSPBZTZXSEOA-UHFFFAOYSA-N', 'active', 1.0]
['VXEXAYDHCLMXFS-UHFFFAOYSA-N', 'active', 1.0]
['OGJTZCZJWZSZBT-PZFYLCKJSA-N', 'active', 1.0]
['LXUUINCSEPUOLO-VQQNELKUSA-N', 'active', 1.0]
['JWVLBJWTJKCQKN-UHFFFAOYSA-N', 'active', 1.0]
['QADNHRAZNWHMCJ-ZDUSSCGKSA-N', 'active', 1.0]
['QADNHRAZNWHMCJ-CYBMUJFWSA-N', 'active', 1.0]
['JTLQEKHDULWNCF-UHFFFAOYSA-N', 'active', 1.0]
['JBYIZKBRTHBKEA-UHFFFAOYSA-N', 'active', 1.0]
['YICBDJGDAYFBCU-LBPRGKRZSA-N', 'active', 1.0]
['YICBDJGDAYFBCU-GFCCVEGCSA-N', 'active', 1.0]
['QVFKJDAEBKUBLQ-UHFFFAOYSA-N', 'active', 1.0]
['GOXWZMPAKHIREN-UHFFFAOYSA-N', 'active', 1.0]
['DKVBXSSXOCAXCQ-UHFFFAOYSA-N', 'active', 1.0]
['ANWUZBLJQPVLBT-OOEWDAAOSA-N', 'active', 1.0]
['HSHQRBIHBACMIV-JOCHJYFZSA-N', 'active', 1.0]
['AZAWWFXBRYGUSO-UHFFFAOYSA-N', 'active', 1.0]
['MQARGKOQALMYGW-UHFFFAOYSA-N', 'active', 1.0]
['LMQVNFSZYTZWEU-UHFFFAOYSA-N', 'active', 1.0]
['CUHWFKBVLWDDIA-UHFFFAOYSA-N', 'active', 1.0]
['VDONGYVJKVVQBX-UHFFFAOYSA-N', 'active', 1.0]
['UTMCNVSJQGUMJQ-UHFFFAOYSA-N', 'active', 1.0]
['OYRVFBMCXIZBLP-UHFFFAOYSA-N', 'active', 1.0]
['XEPWGEOBMZORBO-UHFFFAOYSA-N', 'active', 1.0]
['NVHVXHXRLUFKGK-UHFFFAOYSA-N', 'active', 1.0]
['ZMZGZWILBUQZMM-UHFFFAOYSA-N', 'active', 1.0]
['FHXYPEXZBHMTNO-UHFFFAOYSA-N', 'active', 1.0]
['LHPLMQAENNEPAD-UHFFFAOYSA-O', 'active', 0.9090909090909092]
['CJUVXUAJWPCQPF-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['YKJXTRBKKBLZOS-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['TULWDTBNBLJCAZ-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['USQVZJMSDNUKAG-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['DPDBPSDRMGEXOE-HXUWFJFHSA-N', 'active', 0.9090909090909092]
['RAALYUQXTLZEDP-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['ZCCMWGDDJCZIRM-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['ZSNHENMRSHEOKB-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['QJHXTCALJJBWDG-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['ZQIMISSUUAZNSZ-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['AOCQEMKYGLXHJH-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['PSHCGNHPVSVGCS-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['MKXFUXKUEIXJCN-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['AHLAKVWALZGTCF-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['VVTCQZPTOCKFDU-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['FSZSLBCGSUGPGV-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['LPXRBMITXODYIP-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['BZNNMOWCHDCPDT-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['WBSWXHFVMFNPKJ-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['DVWCHOAVTLDWJF-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['MJXZOAXIOKDLHJ-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['SILQWVWIGTVRDM-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['QEZPMZCPCZXFLG-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['IOKLAJPKQRCNAY-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['PUBHTELOHKEOFU-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['XRXKLKJRBJOYLK-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['KVGWMQXQYIEIBF-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['NFPHGJYIEMABAK-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['HCRSMSMLPPUUGL-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['AHMVEEGDUYVMSR-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['HHIHYHJGSHNPAP-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['BVGRAHBAKFFASJ-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['NAMMFALAYMFCHU-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['JWPAQKYEHSCXRG-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['WZXCLZANDKZJNH-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['RGAHCRVSRKWUJR-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['ZLHJZWDHTFMTFQ-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['YNYXWQXYEKMDCS-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['PWZJUJLYQFGTQM-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['GUEXBIMYZHYPCB-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['PLUDDIKUYYFLFP-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['VFGOZNVJQMFQPB-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['IEECYSIACWTDHT-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['OSOJALFOTUWZOL-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['AYSBNMWJUUXMRE-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['BXDOWKNJPLBAKK-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['XLYNQISLWZSHKB-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['VFRNDAKLIXXFBP-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['FRCLKSCOKNKFOJ-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['POEGMVCXJVYTFB-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['ZMPCBAVRLUYZDJ-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['TWDHTBMPJKGGHZ-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['XFNCPTSXJIPUTF-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['SUOGCNXORKUBOI-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['MCCMXSVCXXNURW-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['FXAHKAHGVVAOML-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['IHPAKNFCOIVCQS-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['HJLGSAPWHFKHCI-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['YQFJSPKBVMFHRO-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['YPJVVQVPCSFMFR-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['BOIRIROCFCNLRO-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['GGFAMRWITQFLIZ-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['YJNVLUIUBVAGHS-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['YZMPNZXASGSOQE-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['UVKWBRPLKCMURU-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['FUSNQODFHNSNIK-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['AEESLCKBEPGNIG-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['JZJOXSWNIDEMLX-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['QRXLZYCELOGVAP-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['VRCGHZUODHSICU-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['KSKMHATUXSBITF-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['WYNPILLTICOHJL-SBBCKMOYSA-N', 'active', 0.9090909090909092]
['URGARRXOPLIBRM-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['LDLXUZXDCZGSFP-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['VWDLGEGODKBJSF-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['GPVXSKBEYIWWAZ-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['ZSXMNECZQKFGPO-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['KEOKOKOCLKVPAP-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['LLIBMEGIIXROCS-CMDGGOBGSA-N', 'active', 0.9090909090909092]
['BFZRPGAAYIIACP-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['IFVGVOZINCJYCC-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['IGXVWZFQATXMGJ-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['FQWNERBMGKQJFU-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['DMRVNGNTKBQFKL-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['QOKBYUJNOIAGPM-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['MXVFJFWWEIESAO-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['RSXMCFXTICPSBM-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['MFXUMWQBAMVULE-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['PRKGNUFVOCNFRL-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['AYBUXRCWUWAADE-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['TXHOBYNFGFAOJS-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['OAGGSASUYYNNOD-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['JSRGPKHEKJYRPL-AUWJEWJLSA-N', 'active', 0.9090909090909092]
['PBTVALLGLPHWCG-WDZFZDKYSA-N', 'active', 0.9090909090909092]
['OVTNIJXKKOSBDQ-PDGQHHTCSA-N', 'active', 0.9090909090909092]
['XDCMCNKQAZUXRV-PDGQHHTCSA-N', 'active', 0.9090909090909092]
['CCEGJRLFIODALJ-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['OARKJJWWSNRTDS-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['MZGXZHQTGZODDP-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['SDEBQBVLRUGSHZ-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['QDYRJODMKVPROZ-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['XFEBMLHYXOZZTG-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['JMKNJUVPRIWUPE-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['QEVFDNYXLVUNNO-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['HBOMHJAUEQVBCN-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['RFOYQYGFYQBDNR-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['CZTCJKSYUPWCGF-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['ONMYAPBFXLOPIF-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['YSCMUUYJLDOPEL-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['QQJMUGAYLKGQDY-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['CCICWUAHWQSFHJ-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['MJFWIQKYLLEFNU-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['DXCGSFQSPNXAOI-UVTDQMKNSA-N', 'active', 0.9090909090909092]
['CFRUBGQKNRTBSR-ZROIWOOFSA-N', 'active', 0.9090909090909092]
['NIMCHTGMWLBOBR-ZSOIEALJSA-N', 'active', 0.9090909090909092]
['SLFIVXXZOYCJGB-XMMPIXPASA-N', 'active', 0.9090909090909092]
['SBWQPQMZGUVVGK-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['GBMBJCPDNNMWGY-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['GMHFYROPJLVPCM-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['VJDZABPHUQITLG-DUXPYHPUSA-N', 'active', 0.9090909090909092]
['UGSOGNXSVXTHSG-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['MBQOLZKCWIMGNL-ZDUSSCGKSA-N', 'active', 0.9090909090909092]
['OZROAAKMSNVOKX-FYSMJZIKSA-N', 'active', 0.9090909090909092]
['GZJXAKPSJRSNPS-HWKANZROSA-N', 'active', 0.9090909090909092]
['XELZICCXMLOVPX-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['HOKWCZMBQNKPKF-FYSMJZIKSA-N', 'active', 0.9090909090909092]
['MBQOLZKCWIMGNL-CYBMUJFWSA-N', 'active', 0.9090909090909092]
['BWYWPHBWTDHLGF-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['FFCRXWZZNGYYDA-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['YMXHAQIYPQGATN-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['LRPHBWPBHAKHGB-IBGZPJMESA-N', 'active', 0.9090909090909092]
['DUWLNUUTEBQUKY-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['OZROAAKMSNVOKX-GYCJOSAFSA-N', 'active', 0.9090909090909092]
['HTLMUUOVDLGGGH-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['LOBTXHGFOYHRAM-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['CTASQVLZAWKLKO-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['WRVCWRJAPOCUSC-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['GXMMCXKOFTXYLL-IAWMPOBQSA-N', 'active', 0.9090909090909092]
['NBRKXLUNXKKZQQ-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['USLZEGSPSFACMJ-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['AXNVKCJTIOBHOP-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['TZIJMUJDEGKSIY-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['JCCFGLGCOQARHJ-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['PBYIWTUQVWJWGG-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['DRMOQUMSPCCAQT-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['IOUISCPUADKWOY-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['HCFVEIBAFYZYNT-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['IXTOZPSCSFIWKG-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['LKFCCWRGPZEKCD-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['LKFCCWRGPZEKCD-UHFFFAOYSA-N', 'active', 0.9090909090909092]
['UKNJYHMLOCKLLP-UHFFFAOYSA-N', 'active', 0.7272727272727273]
['YLYVJUTZFHFMHS-UHFFFAOYSA-N', 'active', 0.7272727272727273]
['ZAKSTHIIWHODFS-UHFFFAOYSA-N', 'active', 0.7272727272727273]
['ZRZSTTBDFYCDDN-UHFFFAOYSA-N', 'active', 0.7272727272727273]
['VMDLRLYWMGODPB-UHFFFAOYSA-N', 'active', 0.7272727272727273]
['XGERFKJEOMNRDA-UHFFFAOYSA-N', 'active', 0.7272727272727273]
['OATVQTMCSXEWAG-UHFFFAOYSA-N', 'active', 0.7272727272727273]
['QUKHMAOWZSAFJJ-UHFFFAOYSA-N', 'active', 0.7272727272727273]
['AZPHXADRGUOSBS-UHFFFAOYSA-N', 'active', 0.7272727272727273]
['NRKAQHGEBCQUGQ-UHFFFAOYSA-N', 'active', 0.7272727272727273]
['ULJPGJAUFNXESQ-MDWZMJQESA-N', 'inactive', 1.0]
['SLNKYQQNEGAQAH-UHFFFAOYSA-N', 'inactive', 1.0]
['RNAHZLFEERIBII-UHFFFAOYSA-N', 'inactive', 1.0]
['KDBXGKGMORGULU-UHFFFAOYSA-N', 'inactive', 1.0]
